duration_ms,track.explicit,key,danceability,energy,loudness,acousticness,instrumentalness,liveness,tempo,time_signature,track.popularity,track.album.release_date,track.name,artist.name
205573,FALSE,10,0.234,0.521,-9.543,0.872,0.952,0.481,78.902,4,53,2013-01-01,Star Trek Main Theme,Michael Giacchino
223120,FALSE,9,0.524,0.591,-11.219,0.0382,0.796,0.21,113.974,3,46,2018-04-13,The Dragon,Bear McCreary
142817,FALSE,7,0.451,0.526,-16.578,0.315,0.827,0.101,142.021,4,42,2017-03-03,Years Of Training - Part 1 - Motherland,The Flight
130920,FALSE,10,0.325,0.708,-9.672,0.0384,0.959,0.192,68.024,4,45,2013-01-01,Thor: The Dark World,Brian Tyler
126960,FALSE,9,0.33,0.229,-16.442,0.948,0.973,0.0998,96.158,4,10,2014-11-18,Cornfield Chase,Hans Zimmer
256881,FALSE,4,0.344,0.504,-13.588,0.85,0.899,0.104,129.944,4,38,2018-10-31,Captured,Sami Matar
208562,FALSE,0,0.272,0.0141,-23.72,0.921,0.919,0.104,73.966,4,60,2011-03-04,Subwoofer Lullaby,C418
153027,FALSE,7,0.392,0.492,-14.757,0.572,0.959,0.109,80.016,3,54,2007-10-01,Autobots,Steve Jablonsky
157147,FALSE,2,0.164,0.405,-15.022,0.0632,0.912,0.284,133.008,3,43,2012-05-15,The Eternal Conflict,"Neal Acree, Matt Uelmen"
129027,FALSE,2,0.474,0.65,-12.774,0.00122,0.897,0.103,96.024,3,42,2010-06-01,Code of Conduct,Hans Zimmer
172127,FALSE,5,0.143,0.334,-17.084,0.308,0.933,0.114,99.976,4,38,2018-10-31,Unbreakable,Sami Matar
170845,FALSE,10,0.293,0.47,-16.454,0.0584,0.877,0.143,120.341,4,38,2014-01-01,Norman,Steven Price
177733,FALSE,7,0.151,0.464,-15.781,0.671,0.91,0.11,79.917,3,50,2007-10-01,"No Sacrifice, No Victory",Steve Jablonsky
148813,FALSE,6,0.179,0.048,-28.663,0.889,0.974,0.0775,72.93,4,3,2011-07-12,LIly's Theme,Alexandre Desplat
187680,FALSE,3,0.0956,0.0724,-22.319,0.968,0.87,0.101,85.743,3,1,2007,Never Forget,"Martin O'Donnell, Michael Salvatori"
251140,FALSE,2,0.201,0.142,-21.338,0.685,0.927,0.129,85.098,5,37,2018-10-31,The Absolute,Sami Matar
155827,FALSE,2,0.407,0.433,-15.331,0.467,0.936,0.0663,119.923,4,37,2014-01-01,Emma,Steven Price
116760,FALSE,4,0.176,0.00998,-27.101,0.973,0.854,0.0842,83.902,4,33,2015-09-18,Someone Loves Us,Dario Marianelli
